SKU,Category,Subcategory, Innovation,Feb_1,Mar_1,Apr_1,May_1,Jun_1,Jul_1,Aug_1,Sep_1,Oct_1,Nov_1,Dec_1,Jan_2,Feb_2,Mar_2,Apr_2,May_2,Jun_2,Jul_2,Aug_2,Sep_2,Oct_2,Nov_2,Dec_2,Jan_3,Feb_3,Mar_3,Apr_3,May_3,Jun_3
188,Refreshments,ICE CREAM,0,80870,118283,96822,125906,165159,160033,158072,101770,81169,77649,60003,37988,67378,97172,59621,85653,142454,180341,146895,78549,84065,72207,42096,45445,54478,46584,80860,116344,134174
189,Refreshments,ICE CREAM,0,127032,244834,236669,343272,406319,389340,349570,238063,223652,176073,153975,112851,191615,243452,165357,305643,308808,450363,348423,328757,165557,286131,139581,121300,156686,147819,213970,315306,326830
190,Refreshments,ICE CREAM,0,85472,207737,235279,340361,460603,383912,338672,190644,138923,56687,58229,64068,95541,201627,247942,444787,476142,624439,255635,198054,119497,95631,71558,79779,81145,203283,300799,325241,181955
191,Refreshments,ICE CREAM,0,14035,66015,73275,81693,113692,103904,105503,35550,26722,11072,29281,17868,25970,62676,39036,195207,143253,92811,136607,98940,23614,19521,32532,16242,17084,68311,69936,71561,91076
192,Refreshments,ICE CREAM,0,169694,235947,161078,112579,140117,84991,87404,55052,101855,73793,72031,60388,77149,113535,98255,134604,93003,88780,62482,68656,98834,35144,63606,66974,65427,95321,82305,122334,94813
193,Refreshments,ICE CREAM,0,172886,328164,303077,203008,203595,262165,173125,158196,189566,137086,151876,135793,166357,212242,176983,214156,151508,127212,107155,122241,133929,78419,120176,115756,103567,177753,136938,208943,144644
194,Refreshments,ICE CREAM,0,168030,259055,171414,128940,131889,91050,76702,97141,110917,76183,96101,61197,99583,99443,56615,215568,106467,114442,70842,84477,100887,54382,73211,78530,66309,143461,93255,182964,113009
196,Refreshments,ICE CREAM,0,86316,97770,84516,135876,137769,165280,107972,81822,62304,70453,54623,28042,60733,93682,58554,98436,140085,104015,116553,61233,59680,74784,45243,40741,50305,62569,72333,135915,79057
197,Refreshments,ICE CREAM,0,198982,179207,103513,144589,184460,164625,151047,108152,113081,57114,50248,27605,45090,79127,48779,96679,97845,129141,138080,60447,57187,53716,35422,36382,34460,46014,41085,59748,71614
198,Refreshments,ICE CREAM,0,189609,178115,126724,140987,179779,174623,174348,128762,145950,52290,73337,36378,67423,101582,49207,115889,140399,161433,179617,63814,118212,86806,46955,40026,47471,38481,26626,81666,74636
199,Refreshments,ICE CREAM,0,58642,72488,81095,123438,170175,136677,72722,70112,79056,78478,47223,31504,53057,96461,70339,93486,137672,138699,137208,73021,78358,41646,40095,50363,53630,41231,56712,76784,83429
200,Refreshments,ICE CREAM,0,169296,280408,318403,450863,564921,552994,460553,330311,324536,250416,204186,107904,202714,268012,216019,412124,518056,555916,530025,367859,230136,382744,194389,159062,233472,202453,315449,476677,480345
201,Refreshments,ICE CREAM,0,122400,223922,209778,334438,312621,361352,296499,186702,207357,117618,121774,67030,148383,168559,124036,211735,263948,367237,374459,187143,146780,208550,112451,96408,123373,104293,150712,250105,246602
225,Refreshments,ICE CREAM,0,49494,84430,80604,118647,119080,122372,123932,84129,61959,57002,50749,35187,44775,72758,54220,89103,115233,113761,57956,84761,52483,70028,33311,34117,43474,51342,49411,84566,94363
226,Refreshments,ICE CREAM,0,79447,111672,106683,162020,171687,182567,129874,76812,94288,54619,74141,41908,79925,101382,59649,100521,128043,127109,128510,64260,54513,53784,48347,52355,64013,48221,72277,75974,73710
227,Refreshments,ICE CREAM,0,67980,121567,121349,174425,220042,191726,194609,121103,123864,83860,75854,49646,54983,189823,94776,176462,216113,247802,248651,110945,113050,94047,63341,69380,85230,98496,121032,147779,162299
228,Refreshments,ICE CREAM,0,65059,381096,171531,186861,244536,186196,179463,55294,80503,15398,13017,30036,49811,133243,131498,175398,256389,188632,210360,58724,63197,25213,22773,42262,21150,65057,60264,177237,169135
229,Refreshments,ICE CREAM,0,97059,179499,270155,325474,514401,368254,367966,154773,144729,58313,50388,69325,107104,231975,197673,417922,569066,513775,359301,217100,135407,68332,93046,100832,71270,154930,342091,344323,346060
230,Refreshments,ICE CREAM,0,53674,92906,134199,130374,283031,191710,164821,98214,40659,20303,50391,32184,49461,129466,121709,281824,290391,331732,245602,104078,45447,47804,7210,68310,26839,118691,159318,191897,175632
231,Refreshments,ICE CREAM,0,10,429853,165693,167372,250571,160932,150479,56804,52711,28465,12669,29135,36627,113496,117094,223391,216311,296482,162610,79511,50122,35782,22773,32532,16241,95139,138989,110587,133351
232,BPC,FACE,0,51540,50172,30737,77285,27224,43010,50276,35842,41736,44870,51385,34065,39596,54329,32963,48814,27936,52952,44503,38058,44689,39627,47936,29710,35183,72296,32992,45961,36640
233,BPC,HAIR CARE,0,71494,41293,67573,83452,53813,61957,48729,81278,69643,52133,83917,77201,59345,60736,67219,77077,103248,66020,75582,52623,63932,49075,61721,70753,58343,72664,73839,74566,25269
234,BPC,HAIR CARE,0,25512,29670,37877,36748,31956,38097,35398,35013,27235,35364,24526,38826,18725,3470,15701,84000,39043,42690,34683,20137,36760,27220,14471,31365,12676,21336,45280,25447,34117
235,BPC,HAIR CARE,0,51324,19816,49509,42893,31922,28590,34268,21592,40836,12749,29666,47139,49537,29082,40007,27696,41438,31462,28860,27544,46826,22448,38541,31075,18879,31350,27176,39352,24503
236,BPC,SKIN CLEANSING,0,10,10,10,10,10,10,10,10,10,10,10,24900,113214,14182,45898,74486,39455,83464,48367,83684,76014,49409,76432,39576,71138,51308,94651,42213,58420
237,BPC,HAIR CARE,0,10,10,10,10,10,10,10,10,10,10,10,71396,21939,3511,7993,4696,3303,5913,10126,10692,10219,10750,5255,5641,8029,13970,11468,5928,11172
238,Refreshments,TEA,1,10,10,10,10,10,10,10,10,10,10,14779,18600,41409,12690,2547,23172,3836,4092,14674,14363,15317,16160,12340,10516,21428,7332,2948,5747,6028
239,HHC,SVG,0,5686,3204,4192,3649,3161,2667,3494,3289,3587,3048,3964,3433,3361,4806,4202,731,1943,4014,2876,2339,3385,4222,4201,4642,2384,10091,5483,848,2665
240,HHC,SVG,0,9538,7509,9006,2642,9839,4799,11282,6158,11606,5777,7981,9439,7901,6436,8603,4410,9719,8296,10182,5853,7367,13786,6577,9415,5457,12278,19967,6179,9790
241,HHC,SVG,0,15115,17115,17504,13815,17362,8046,12307,14427,25216,18998,11254,27064,22347,20082,20604,9778,15294,18680,28848,25031,16758,28901,35261,18994,14946,46136,25598,47001,21614
242,Refreshments,ICE CREAM,0,10,10,10,10,10,10,10,10,10,10,10,10,117384,111326,100948,241715,275334,129194,311235,108281,88822,138245,102031,16288,790,258316,218463,162007,364565
243,Refreshments,TEA,0,10,10,10,10,10,10,10,10,10,10,19086,12310,48713,17516,10801,35696,2624,6265,23396,15257,29509,18594,13636,13784,30246,17577,10616,11721,13342
244,BPC,DEOS,0,17778,7743,16571,21898,24805,16666,28309,16019,7055,13399,8618,4691,7106,5142,2878,6753,2475,7154,5545,4690,4035,2627,4338,4136,2275,1570,1418,3129,1619
245,BPC,DEOS,0,101278,74589,56140,72582,55376,101494,80342,101731,69521,57943,85621,60169,81369,53150,61796,63605,98372,70927,99044,82852,90715,77036,64133,41878,70132,65485,59888,79022,97086
246,BPC,DEOS,0,51893,39295,41599,66261,58607,54030,64346,52082,45857,57382,49341,54627,41582,45477,52283,57418,27875,94479,77754,66069,51503,57264,37454,34378,31380,54744,48502,70096,64277
247,BPC,DEOS,0,108707,83310,77149,99479,124766,169638,114338,147154,89461,149127,138349,111502,51147,102186,94739,135509,168933,153742,172260,151563,134010,165332,126197,90058,94587,115274,100514,129733,162277
248,BPC,DEOS,0,10,10,10,10,10,130761,32185,50010,52222,83456,31673,66393,37793,40425,47289,59875,101001,66359,119363,87718,63761,50901,66268,57907,60624,64152,68987,115515,98858
249,BPC,DEOS,0,82252,69670,79685,97074,120859,104955,90933,112830,92498,120855,92483,84872,30441,33821,58584,100538,102875,68025,110920,97788,61041,96723,76879,45504,43496,56840,81495,95043,108992
250,BPC,DEOS,0,59213,119512,101047,103974,110262,146955,130234,116448,122487,120206,150370,96070,70530,56249,70552,91850,134342,107203,128317,114578,93319,123126,112351,58659,45874,95448,87832,92417,124165
251,BPC,DEOS,0,113167,94538,84375,114085,124654,142896,110615,93282,141464,136939,98764,70430,75005,68809,83323,77651,131372,118658,111352,142147,88983,68493,122011,66618,72115,88724,117685,88972,144594
252,BPC,DEOS,0,157874,111120,81371,121554,146465,131721,135377,137699,116629,129215,104466,144070,58969,103270,69079,128637,116594,106584,124589,141515,112135,97867,141881,97835,111166,112914,96119,147012,141648
253,BPC,DEOS,0,56962,46267,53440,56492,54598,97827,48359,54956,31625,54286,45843,48516,30982,30043,33365,31506,24328,18283,10984,17733,21188,15163,13552,6504,11287,9375,17583,8920,16323
254,BPC,DEOS,0,69935,81681,75737,93487,95383,87999,50855,87164,54451,84102,86661,58152,46757,45209,57505,59806,91180,67267,101741,92811,75893,81641,41619,19727,24265,65912,42058,50288,27192
255,BPC,DEOS,0,105211,82113,70957,92372,95768,120129,87664,63884,84712,95120,76933,91202,84367,53421,73724,60609,99351,96987,93251,121306,82328,102847,74631,54615,51708,66154,87319,95058,104730
256,BPC,DEOS,0,93422,85902,84345,110639,106132,159518,98287,125981,104939,125176,122441,88282,72920,75033,87156,99738,109215,105000,127388,74972,99628,99530,79126,51815,57019,81721,86198,95970,107203
257,BPC,HAIR CARE,0,10,10,10,10,10,10,10,10,10,10,10,42691,15275,7200,4765,4283,6351,6519,7568,8530,5754,5276,8476,17111,1820,3092,2443,3319,2472
258,Refreshments,TEA,0,10,10,10,10,10,10,10,10,10,10,10925,10920,21374,24971,27918,32643,6692,10737,12342,82763,15395,34037,14904,11859,33937,23817,10624,14727,20505
259,Refreshments,TEA,0,26017,30734,23839,27414,32976,21425,20011,32738,27468,47512,27192,39532,39514,55292,70275,52063,23171,21607,21159,40361,13063,58120,38705,9657,45181,32018,19860,22491,36349
260,Refreshments,TEA,0,56489,50147,47067,56401,47787,46479,33478,57296,49703,69650,68535,55464,64358,74957,79195,74082,21847,42724,36080,48945,29401,64991,52921,33679,64939,51568,31801,31464,46329
261,Refreshments,TEA,0,36938,31365,29273,29650,29459,20949,27444,37630,28727,57427,29755,36146,40295,37626,43283,41174,15073,18718,20977,29370,32966,43942,33477,20320,35073,32068,16869,16688,25152
262,Refreshments,TEA,0,32238,33192,23003,23835,28126,20298,18174,27242,37382,41547,33849,40565,44887,31314,40372,36918,14027,19069,17314,51487,22769,44886,41499,23176,40353,35880,12840,19189,17125
268,BPC,FACE,0,25931,19800,15849,33166,26322,21492,19659,26214,15249,19271,23289,24981,26494,19520,17928,23887,17611,20363,23290,30231,15186,22477,24803,21877,17083,19905,12185,19794,20644
269,BPC,SKIN CLEANSING,0,10,10,10,10,10,10,10,10,10,10,10,74699,341957,123117,78518,204617,166398,109745,171645,132632,159178,157428,81553,164669,122539,179272,99157,157003,150759
270,BPC,DEOS,0,43918,34535,12343,59658,49311,54466,41995,65905,60050,57860,36629,73491,34231,37831,38684,54605,62919,67528,67137,45109,63937,45246,47901,43102,35631,49690,61725,85848,84586
271,BPC,DEOS,0,86356,16813,34047,43827,71154,83092,63355,67809,73976,85610,91428,85019,59431,63889,61634,79480,115074,100054,100362,99164,87905,110574,122810,66661,59002,107060,76804,108384,81657
272,BPC,SKIN CLEANSING,0,10,10,10,10,10,10,10,10,10,10,10,10,146671,22174,23296,14187,37914,44747,46861,65583,40602,49312,31614,41462,48198,47374,27315,44530,72334
273,BPC,HAIR CARE,0,15676,10007,13742,23903,18339,16629,11808,23029,29428,23955,25971,11287,45427,44526,33390,20764,52072,35284,34697,34646,33168,30337,24341,31562,22520,41305,46216,33928,19740
274,BPC,HAIR CARE,0,15650,13632,27471,26818,25480,24447,13978,31285,30081,20060,32642,37713,32233,47132,31179,46884,48088,30626,45011,22564,41389,40865,15720,29459,36050,38021,53591,30848,36808
275,BPC,HAIR CARE,0,9006,7238,6932,4127,17859,12222,11287,13609,24017,9905,10253,23156,10430,32361,13278,10702,20250,17102,6312,2261,11261,14958,9805,13752,10050,17901,25900,25234,32849
276,BPC,HAIR CARE,0,5323,1971,3686,3741,1617,7771,7472,10631,4832,11831,12293,20628,15072,25502,25368,9787,15942,14880,16841,16762,19674,22126,4667,12182,14882,12591,29533,19453,13110
284,BPC,DEOS,0,126925,177535,111684,140280,189627,187079,163682,201314,198687,215866,208243,155623,186526,173757,108977,231667,231195,218700,157545,176557,191270,215559,225969,156641,186850,201779,117832,192021,188714
285,BPC,DEOS,0,68601,98904,64209,62776,91318,110382,92783,100070,88753,86370,106149,87653,62879,82164,60018,69696,130004,108911,121725,101484,133725,60585,109218,76018,59016,71083,76843,82392,90334
286,BPC,DEOS,0,118231,120058,95811,137251,109636,167952,129274,134206,138733,145436,162779,126737,105280,79125,133887,124941,178837,162238,130961,137287,153308,159257,157956,114025,149416,131994,110898,105316,140159
292,BPC,HABL,0,77024,52582,58129,71707,68256,52314,81296,53121,22876,41968,63908,58800,45578,58265,64516,62082,59146,67983,60071,62438,39982,36020,62866,41945,64648,68788,68995,75748,97216
293,BPC,HABL,0,107466,89906,84961,68707,65403,56413,96715,75804,36582,63405,85110,94993,67430,73923,83367,66567,69407,63340,75539,71076,62276,76964,77365,61425,51103,141241,70609,86138,73720
294,BPC,HABL,0,53218,46902,31189,33937,28597,17734,45695,32628,20812,46906,59723,55608,37382,37673,41914,26562,30343,34687,26132,46034,30585,30621,26098,10129,12320,10788,10420,12373,7433
295,BPC,HABL,0,111954,73629,86249,53849,47725,45174,70604,60660,29022,46229,65765,69560,59387,61667,54569,58433,53548,51989,52272,53477,40921,64376,45307,32939,44273,60028,49727,46633,61522
296,BPC,HABL,0,120510,105485,100618,95120,86135,58045,103850,77642,35332,85730,95054,103598,80489,101320,110691,95971,120576,132147,110587,50573,128098,110179,139045,80719,60757,155505,100227,121561,113976
297,BPC,HAIR CARE,0,37555,43489,48606,54416,39972,41991,45892,43949,56264,27392,44092,56858,40660,59394,47255,45344,46593,42239,35912,40527,42269,40392,44795,37683,39883,38311,55040,47549,30688
298,BPC,HAIR CARE,0,92251,81997,117778,119380,105139,85614,113657,93934,116590,76309,87506,107227,77614,104954,97934,91090,120721,112430,95312,105726,96617,87780,76442,116237,80905,89776,116327,153252,64993
299,BPC,HAIR CARE,0,56109,80030,48462,95283,59969,41699,57147,71802,91107,50380,89990,40794,81630,87262,55509,92116,45230,47418,70650,51905,76415,63416,43745,49915,51034,94689,55491,90332,80245
300,BPC,HAIR CARE,0,29151,62159,29025,69896,41857,21419,46846,51322,60008,28491,34932,52076,54963,61761,30756,66983,26454,30350,51515,37926,48279,10,51902,36734,40853,84868,23176,54697,54767
301,BPC,HAIR CARE,0,40140,67562,66123,79868,66804,56141,68522,54977,49646,55275,39577,41175,48951,65829,45201,70955,63715,76376,68611,83430,70684,54828,54136,61269,72028,60855,40243,86236,75272
302,BPC,HAIR CARE,0,49534,35790,60858,45740,37289,29758,34956,37507,27994,35107,31948,32266,43718,37534,51751,46932,36747,65091,27197,78603,34868,13551,57246,41030,36433,39562,49743,45784,52037
303,BPC,HAIR CARE,0,13398,9071,11550,5465,9129,7313,10051,6415,8553,5060,10339,5900,2867,6389,7574,4947,7458,6848,7832,8698,7226,4717,5061,27727,25263,86497,40288,2875,3989
304,BPC,HAIR CARE,0,51583,67462,75567,88824,74410,84764,61891,75581,64370,50587,50566,60270,66389,69867,67536,103669,71134,93116,63705,92870,73624,55001,56760,56763,71394,66799,59959,78604,80241
305,BPC,HAIR CARE,0,58433,59977,80519,69461,52984,50184,58039,46711,61410,48006,48647,47513,69525,55170,63009,71138,47483,99825,53659,86649,67572,66856,59254,58853,48091,44457,77313,62737,78810
306,BPC,HAIR CARE,0,88022,65712,98336,99772,100785,105570,71830,90894,91211,71704,68528,71077,93839,87197,83349,121315,91075,112999,77991,113225,98492,77553,73649,74215,90065,61676,91948,103518,113183
307,BPC,HAIR CARE,0,16282,13802,18937,11496,13338,12998,13510,8377,16607,8784,11955,5203,6476,7079,11470,6072,13316,11523,10979,11641,14501,7375,5405,58093,4471,104519,31462,5798,14824
308,BPC,HAIR CARE,0,40795,91086,93881,110401,99178,88474,83284,79194,84949,55447,65408,53148,84276,108940,69573,83006,82732,99674,48296,134473,118879,81586,87445,88986,100001,92909,60115,140365,92260
312,FOODS,SOUPS,0,54907,47363,56304,40566,26163,35025,48280,50830,43576,46829,64222,70422,31851,39638,38041,39489,22416,35645,50629,42195,66178,54185,56988,53403,51718,61671,42182,35307,33417
313,FOODS,SOUPS,0,71711,56426,52772,45317,29634,42604,57419,52018,61236,70652,84450,89663,41015,64051,51877,45063,37289,37769,52757,50382,81812,66258,79519,65307,73819,67889,54955,51136,39656
314,FOODS,SOUPS,0,89933,105517,94277,77344,50393,48217,112283,112912,136832,168272,141432,130136,103202,74580,89795,84830,65063,50090,98716,111840,157113,106215,150187,126777,120326,89980,74895,62668,65480
315,FOODS,SOUPS,0,55124,34376,65314,34706,28783,25645,52772,37509,51582,95086,39639,40630,48536,27747,35890,35330,29668,25837,44187,30160,75374,25225,50450,56648,34074,48087,38936,33219,32859
316,FOODS,SOUPS,0,46355,35500,32185,28537,20332,21678,29865,31261,30286,58979,45536,49360,25497,29324,27209,27033,20108,18829,31745,25871,55234,41978,33383,39241,36548,42175,35056,29967,21316
317,BPC,HAIR CARE,0,62835,90540,62940,97916,76513,81754,71804,78422,100019,75177,70696,69770,58711,79827,50597,130537,62781,70765,84991,69711,109729,48492,40438,35725,45605,10,10,10,10
318,BPC,HAIR CARE,0,97025,90153,108348,113921,92930,106670,85739,107003,88836,113268,115171,126654,93984,141585,88285,131997,107652,99133,112406,105037,106080,114393,79927,100858,71094,114533,104980,111005,76159
319,BPC,HABL,0,42545,38663,34843,43227,44708,42981,38207,49504,43384,72491,62040,63130,60570,62183,53560,64569,50844,42219,72951,36976,62554,89758,19609,36396,85341,117683,48477,52147,69906
320,BPC,HABL,0,35302,46852,9947,26008,19754,18757,31838,37603,19100,48428,41600,49258,52498,32702,44623,21698,27887,24788,21166,43661,59936,79799,37440,21417,40591,85118,45363,44850,58742
334,Refreshments,ICE CREAM,0,186179,327012,398512,673916,635809,475917,36350,36759,381036,200688,255019,169068,270485,363771,473833,818747,792605,695189,745693,254384,282615,244781,279194,229245,255703,366209,660109,873867,896915
335,Refreshments,ICE CREAM,0,115612,249942,317018,430920,527445,510523,322393,88533,161038,46981,57318,88094,109153,258171,240223,558037,622440,658686,336422,116923,70342,59421,69728,116230,100729,248147,333255,441751,426246
336,BPC,DEOS,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,87377,20835,63204,54060,30983,24229
337,BPC,DEOS,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,79545,49450,9598,13898,32271,16718
338,BPC,DEOS,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,78357,64550,87515,82776,130053,130253
339,BPC,SKIN CLEANSING,0,198740,188125,192129,158220,210195,146625,233623,202398,218800,131338,167573,208378,128827,194852,191713,183068,181546,174636,170806,237432,212971,175373,129857,173807,166701,193082,140922,192818,169958
340,BPC,HAIR CARE,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,38118,15962,12205,24858,17395,29480,10825,32750,37644,21474,26357,16710
341,FOODS,SOUPS,0,100092,79194,79917,67168,51513,64365,71122,92628,103660,120975,131317,96539,71686,71259,63579,57997,46632,57696,73880,79677,159258,74768,98960,112777,77633,54474,66181,47088,64291
342,FOODS,SOUPS,0,54103,47608,44464,45236,19889,33345,42710,40753,64086,66315,74479,54969,26733,53016,35325,48548,22297,26279,40909,36084,60872,60744,51279,40460,44647,45909,38110,37904,25867
343,FOODS,SOUPS,0,32953,38620,35996,30425,13508,26753,25577,38848,46496,50910,41579,42821,28102,33147,24952,22452,12654,23710,32155,27463,61877,26203,34943,46067,36524,41643,35796,38007,36519
344,FOODS,SOUPS,0,112554,83245,95308,83022,40800,53575,94945,97829,125862,129789,96233,107911,52088,87911,79290,83314,52054,51613,81127,87311,138675,92181,111362,103014,112028,95995,70996,68220,65736
345,FOODS,SOUPS,0,161113,148215,193663,155839,107505,156861,201850,180325,204180,278102,334652,252676,179349,157070,151337,145195,118089,139489,183954,174898,268067,224854,319449,205545,162335,133780,172411,141595,117629
346,FOODS,SOUPS,0,47619,54429,54013,36985,20874,44129,35284,39494,67631,65278,64326,57796,34460,40514,29967,45813,17419,33642,40610,34096,97483,41852,72143,47261,91052,44006,58339,35429,55374
347,FOODS,SIDES,0,180553,231953,219134,181623,220691,182847,258014,170849,205929,261421,199949,223196,238281,198178,187494,272499,217315,252862,244210,218275,293039,230461,211486,179698,287066,245329,213810,265116,197931
348,FOODS,SIDES,0,67315,103245,73955,84057,63894,77762,100686,67224,85682,76662,70978,84174,78288,71807,77171,100756,72152,89927,96393,79209,108276,77800,83599,69469,101688,106727,78709,107462,68676
349,FOODS,SIDES,0,212978,676129,500551,505533,416809,360191,558514,384562,678122,499644,372191,418439,481281,553360,364523,535622,367329,608951,561445,320467,451197,452005,458504,403256,616871,500857,405599,582492,405161
350,BPC,HAIR CARE,0,88418,71956,55862,110605,64974,39154,95166,65653,62465,70802,46483,39949,78440,82614,69007,79724,98496,44284,53955,42051,110553,81065,76738,80521,36421,87860,77314,89903,108305
351,BPC,SKIN CLEANSING,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18137,45450,120006,30155,98295,57039,41839,55033,74009,53233,82361,64389
352,BPC,HABL,0,10,10,10,10,10,10,10,10,10,2969,135974,147454,103047,103932,105266,122656,112091,112555,104428,119059,165120,162445,110649,209591,92134,142224,106676,68863,126714
353,BPC,HABL,0,10,10,10,10,10,10,10,10,10,37,65876,75765,56435,69111,81260,57687,63294,74573,72568,73993,73651,47422,41650,98489,51281,69656,68747,25897,71592
354,BPC,SKIN CLEANSING,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,70436,20394,62974,23366,11119,4482,7625,12374,16696,21189,15066,32534
355,BPC,SKIN CLEANSING,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,69005,20087,86679,22797,20320,26926,27668,24274,31457,78519,10745,36469
356,BPC,SKIN CLEANSING,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,59304,29802,62250,48826,40837,25788,29026,48365,45395,60800,21483,51678
357,BPC,DEOS,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,110396,32860,49968,62772,93533,77617
358,BPC,DEOS,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,108078,26210,44768,48479,68004,59782
359,BPC,HABL,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,53204,59841,73766,86953,45477,42118,37841
360,BPC,HABL,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,53204,46792,64851,58174,16239,18018,19583
361,BPC,DEOS,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,107018,45176,73670,51772,63420,53342
362,BPC,DEOS,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,73065,79285,48856,40677,55829,52628
363,Refreshments,TEA,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20745,12208,5015,6108,9061
364,BPC,SKIN CLEANSING,0,114908,75694,90189,80774,97885,86999,64717,101351,72373,50599,72966,127792,54341,70870,92001,129540,109239,88537,73217,112944,77792,55746,59557,44641,58982,61146,48268,56838,62399
365,BPC,SKIN CLEANSING,0,157616,123342,152504,141010,165260,123760,168512,149904,159153,127622,140949,132716,113027,144018,135909,125196,189518,101860,184776,115557,227632,118117,98533,66223,119127,110861,74869,125167,103642
366,BPC,SKIN CLEANSING,0,291903,238839,274962,219091,213541,226006,276771,238342,287288,210245,236678,251395,194163,304485,209512,266142,261110,240104,280760,267290,289115,263620,218857,229482,255606,247490,164274,235547,204996
367,BPC,SKIN CLEANSING,0,85350,88562,72652,89282,100339,82117,82201,91679,104854,66093,99159,94273,64866,58386,77763,83157,87617,75033,62978,67393,71692,46831,47699,36198,27323,46056,31548,44275,31802
368,BPC,SKIN CLEANSING,0,327438,213645,276033,295203,237988,264951,311277,234581,333734,205116,215502,287228,182805,301322,237310,277534,267394,252972,290710,291799,310294,222804,250338,222667,247888,205796,198411,233208,230307
369,BPC,SKIN CLEANSING,0,165752,129593,130470,126938,153360,126955,124883,141632,125846,111565,129806,165889,97638,145864,146328,147040,161556,130847,131655,163004,145626,135553,93795,75821,106759,125278,80625,110794,90941
370,BPC,SKIN CLEANSING,0,43167,39605,43839,44648,51952,50251,48803,56191,42443,44512,76108,38240,42483,65447,41113,57673,33783,68815,64103,70099,61182,48757,69375,44459,49587,61487,41186,61562,56097
371,BPC,SKIN CLEANSING,0,49122,49002,41854,51442,60185,57681,69647,69220,40100,51303,76400,50598,47431,60813,61201,28535,61327,74489,66527,74431,68431,26626,60400,61891,69494,49346,45004,74963,94613
399,BPC,DEOS,0,37345,37683,30932,55136,54008,37023,60099,48614,32812,34089,35341,21651,19239,30163,18081,26940,38765,21353,47468,44002,27191,33185,36043,20848,15968,33430,23465,40978,39027
400,BPC,DEOS,0,61996,79358,72729,83015,101436,47607,120479,91728,80507,108421,105781,78832,42284,55216,74690,66941,90273,117220,141743,127516,72511,116612,79096,59757,69056,74955,88950,79740,79287
401,BPC,DEOS,0,52719,49602,50720,71376,67095,88723,98080,68583,69768,97760,80727,69698,52638,55430,78470,70090,104537,53935,147737,110503,74002,51040,122522,61123,89477,81598,115357,101482,98569
402,BPC,DEOS,0,94731,84187,66097,126951,122279,123725,137338,96925,100397,121532,138155,119139,53433,91290,91168,112665,122638,189757,187995,97382,219908,44219,242719,100033,102128,128067,107657,122701,129370
403,BPC,DEOS,0,10,10,10,10,10,10,10,10,10,10,10,131043,35378,30591,42480,56249,68193,38116,68639,41208,38131,53152,43883,16018,41105,21081,29508,32914,38722
404,BPC,DEOS,0,69147,62574,51575,76428,74934,52949,96075,62630,80175,84206,90055,58566,30199,74993,41892,99192,101900,102431,101447,90652,133551,18021,60264,76990,55936,65123,95276,88679,97823
405,BPC,DEOS,0,10,10,10,10,10,99457,1713,3917,7447,19261,6400,23142,10250,11534,12540,15729,28708,28711,46671,35702,17028,6382,46508,14159,21085,14318,14371,34751,24612
406,BPC,DEOS,0,40473,31638,17384,29662,29989,29235,37945,25427,18838,30077,25678,18353,14253,17478,16371,26486,20292,25720,29529,35190,15719,18883,22038,9872,6598,12078,14094,20591,12591
407,Refreshments,TEA,0,96127,31711,94968,45964,31578,67428,49725,27400,94190,67736,77292,44241,88422,59416,41214,18358,863,45119,61031,50255,69098,73281,78377,57870,61425,77696,70154,67389,55351
408,Refreshments,TEA,0,7991,4352,22805,12884,4424,3990,13822,10,21865,4212,18426,10,9896,9218,8940,4495,10,11387,6927,11379,13514,7760,8705,11038,14522,22293,14119,17061,12836
409,Refreshments,TEA,0,103168,18175,127321,63151,36575,67859,50312,36129,99815,72449,95702,49412,80225,91215,45817,13619,189,33353,59548,56814,59201,78116,75255,65396,61416,81052,48704,76197,45315
410,Refreshments,TEA,0,44941,18078,44001,27465,9062,31200,41446,22887,58741,40629,46050,37483,67178,45390,31998,22973,10,14627,24939,28942,57651,58434,54116,30317,46404,35259,26714,59807,34802
